label,model_name,ablation,use_niche_tokens,best_val_loss_mean,best_val_loss_std,classifier_auc_mean_mean,classifier_auc_mean_std,classifier_auc_std_mean,classifier_auc_std_std,jsd_composition_mean_mean,jsd_composition_mean_std,jsd_composition_std_mean,jsd_composition_std_std,mmd_rbf_mean_mean,mmd_rbf_mean_std,mmd_rbf_std_mean,mmd_rbf_std_std,rank_consistency_mean_mean,rank_consistency_mean_std,rank_consistency_std_mean,rank_consistency_std_std,sinkhorn_mean_mean,sinkhorn_mean_std,sinkhorn_std_mean,sinkhorn_std_std,sinkhorn_mean,sinkhorn_std,mmd_rbf_mean,mmd_rbf_std,classifier_auc_mean,classifier_auc_std,jsd_composition_mean,jsd_composition_std,rank_consistency_mean,rank_consistency_std
deepsets,deepsets,,False,0.2844935576121012,0.010418465859272162,0.8440715129026817,0.030001151972417445,0.04334329137992293,0.01645458925280075,0.03044902277952519,0.004528184043079622,0.020732377683235784,0.008516092690180195,0.02891374131043752,0.004424630053604071,0.009121549733259115,0.0036402631202866144,0.12270166833574574,0.006417378175170024,0.21379614642702224,0.06609371901143435,9.224533478418985,0.41874701641217243,0.926119524162008,0.5502855746686611,9.224533478418985,0.41874701641217243,0.02891374131043752,0.004424630053604071,0.8440715129026817,0.030001151972417445,0.03044902277952519,0.004528184043079622,0.12270166833574574,0.006417378175170024
linear,linear,,False,,,0.9000393545848091,0.055206226778293434,0.030677766362056418,0.03262718620329725,0.36601279051572577,0.07317767112838573,0.08165066792341603,0.01493519629087533,0.1648162305355072,0.008941266608784585,0.0073001182965474155,0.0021188171162716428,0.34573917215069133,0.07087164113379314,0.25863947220313305,0.12759031808084886,12.228068749109903,0.3626385444600941,0.30530676950240226,0.18311128056342021,12.228068749109903,0.3626385444600941,0.1648162305355072,0.008941266608784585,0.9000393545848091,0.055206226778293434,0.36601279051572577,0.07317767112838573,0.34573917215069133,0.07087164113379314
no_context,no_context,,False,0.27289488017559055,0.009035251531002755,0.7442373643672345,0.012120170974060278,0.04708664945443188,0.018358915310778882,0.020643942038155668,0.004781464821454209,0.010602347007135297,0.009281196283392142,0.02023903528849284,0.004291261290413361,0.006041577797891974,0.004336183349368279,0.029372489390273888,0.09780984367131788,0.21197429299588622,0.060674986174312294,8.601360241572062,0.3847264020777212,0.5712243765127535,0.5423957790542724,8.601360241572062,0.3847264020777212,0.02023903528849284,0.004291261290413361,0.7442373643672345,0.012120170974060278,0.020643942038155668,0.004781464821454209,0.029372489390273888,0.09780984367131788
stagebridge,stagebridge,,False,0.28791092286507286,0.0059630864716860455,0.8244504413335582,0.03156515789299011,0.042599795384262285,0.013813033807879486,0.02965399817447188,0.013421809394941133,0.0220072332603108,0.018022391413185616,0.031008367737134297,0.0083376455819356,0.010933459564452715,0.008205787651912703,0.022495711299901206,0.038168917643824025,0.13685360055696819,0.09368687808568103,9.092261711756388,0.6449939642779721,0.8472552621113157,0.6767018761092779,9.092261711756388,0.6449939642779721,0.031008367737134297,0.0083376455819356,0.8244504413335582,0.03156515789299011,0.02965399817447188,0.013421809394941133,0.022495711299901206,0.038168917643824025
stagebridge__ablation_no_context,no_context,no_context,False,0.27058793902397155,0.006315059365076421,0.7482149884747287,0.028076130210615207,0.03064842744999434,0.010740126255261521,0.026299130718481376,0.011291264863248338,0.015227247989002476,0.013419511672214317,0.021500388781229656,0.0031825927880641714,0.007737256783920866,0.0030634945286545584,0.08102804327306028,0.1549817589110082,0.3506665049335271,0.12199096766993467,8.771192868550619,0.3841552694516511,0.7037406905538722,0.5599221499171295,8.771192868550619,0.3841552694516511,0.021500388781229656,0.0031825927880641714,0.7482149884747287,0.028076130210615207,0.026299130718481376,0.011291264863248338,0.08102804327306028,0.1549817589110082
stagebridge__ablation_no_context_consistency,stagebridge,no_context_consistency,False,0.2881731907526652,0.020313404563168592,0.8237195704728172,0.017890464540551328,0.03512406977187796,0.005387793204522374,0.030004160964539894,0.008849851444640221,0.01914141480946596,0.019919982216874566,0.02829003830750783,0.005712752100272195,0.007304868448165018,0.006040946552890123,0.04472086454431216,0.049754289557104814,0.26927141558656215,0.11994803145772487,9.255622704823812,0.14168455710932876,0.7375657403591495,0.7228910652255196,9.255622704823812,0.14168455710932876,0.02829003830750783,0.005712752100272195,0.8237195704728172,0.017890464540551328,0.030004160964539894,0.008849851444640221,0.04472086454431216,0.049754289557104814
stagebridge__ablation_no_ot,stagebridge,no_ot,False,0.6755178729693094,0.047815797776169844,0.8045201551695058,0.022278645506295117,0.04511022201866637,0.01818767065946152,0.027081016347323527,0.008178192071165285,0.011493780250575568,0.006597858253661975,0.029278074701627094,0.00616435042175413,0.009968416482322913,0.0052927989718190675,-0.008489913928012053,0.18587002630701277,0.2572384805589293,0.03937441624407272,9.541172742843628,0.17359572154476777,0.6411230149999024,0.2494568948595043,9.541172742843628,0.17359572154476777,0.029278074701627094,0.00616435042175413,0.8045201551695058,0.022278645506295117,0.027081016347323527,0.008178192071165285,-0.008489913928012053,0.18587002630701277
stagebridge__ablation_no_stage_embedding,stagebridge,no_stage_embedding,False,0.2564501037200292,0.01785284443250478,0.7559312981390903,0.037798316514705214,0.036220020243421906,0.01112157664145769,0.02690854675001896,0.009399444631246123,0.01491135096563223,0.011511283756405156,0.023275792598724365,0.006561693449258972,0.006803816310018018,0.004596223427795033,-0.0033693974061558643,0.15717965563067787,0.3390201171519454,0.06408136271335187,8.735595226287842,0.6522317936998457,0.7972115300446223,0.549238369171643,8.735595226287842,0.6522317936998457,0.023275792598724365,0.006561693449258972,0.7559312981390903,0.037798316514705214,0.02690854675001896,0.009399444631246123,-0.0033693974061558643,0.15717965563067787
stagebridge_sb,stagebridge,,False,0.28715475797653195,0.010251417178300016,0.8109293304098499,0.03380433474248203,0.035561973256386235,0.013918516525997907,0.030983335885217355,0.0009690220866526935,0.01487203135250994,0.009199631329738962,0.031030361851056416,0.003952157288924863,0.013415558845885111,0.006082201239793592,0.09900206110129754,0.12521274754606643,0.16832832586239768,0.13855468854027297,9.491405010223389,0.5203479265085849,0.9279294142696393,0.30271746006646005,9.491405010223389,0.5203479265085849,0.031030361851056416,0.003952157288924863,0.8109293304098499,0.03380433474248203,0.030983335885217355,0.0009690220866526935,0.09900206110129754,0.12521274754606643
stagebridge_xattn_sb,stagebridge,,False,0.2905180777112643,0.004574450056019824,0.8197841119919042,0.04371769633491273,0.038022587768466676,0.012354383344561225,0.023870384707640763,0.00833283413222813,0.01493351289772743,0.012125017932093043,0.02818795045216878,0.006088435622073662,0.008995791946888793,0.004041667199182777,0.10035957535728812,0.15421663792521223,0.20636342851923672,0.11963365673061506,9.166855494181315,0.34338185504462637,0.8772591142001152,0.5399508261208186,9.166855494181315,0.34338185504462637,0.02818795045216878,0.006088435622073662,0.8197841119919042,0.04371769633491273,0.023870384707640763,0.00833283413222813,0.10035957535728812,0.15421663792521223
