stage,prototype,occupancy
AAH,4,0.10942008075388995
AAH,8,0.06982153010639278
AAH,0,0.06872500377622517
AAH,2,0.06849446994337169
AAH,7,0.06630579890175299
AAH,10,0.06314364888451317
AAH,11,0.06003768877549605
AAH,6,0.059210814874280586
AAH,14,0.058860299600796265
AAH,13,0.05736913802948865
AAH,15,0.05632871931249445
AAH,3,0.054029494524002075
AAH,5,0.05380282178521156
AAH,9,0.05211888355287639
AAH,1,0.051654954525557434
AAH,12,0.05067665231498805
AIS,4,0.07345890568999144
AIS,7,0.07289142276232059
AIS,13,0.07091676214566597
AIS,0,0.07059979668030372
AIS,6,0.06888558371708943
AIS,14,0.06477980287029193
AIS,8,0.06444953525295624
AIS,10,0.0617950395322763
AIS,12,0.060806529166606754
AIS,9,0.059587468894628376
AIS,1,0.057660747032899126
AIS,2,0.05746051296591759
AIS,5,0.05625059770850035
AIS,11,0.055533684217012845
AIS,15,0.05324342875526501
AIS,3,0.051680185473882236
