donor_id,auroc,auprc,balanced_accuracy,precision,recall,f1,brier,ece,n_lesions,artifact_dir
P4,,,1.0,1.0,1.0,1.0,0.0,0.0,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_01/seed_042
P11,,,0.0,0.0,0.0,0.0,1.0,1.0,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_01/seed_042
P22,,,1.0,1.0,1.0,1.0,0.0,0.0,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_01/seed_042
P1,,,1.0,1.0,1.0,1.0,0.0647056326270103,0.2543730139732361,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_00/seed_042
P9,,,1.0,1.0,1.0,1.0,0.064707450568676,0.2543765902519226,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_00/seed_042
P20,,,1.0,1.0,1.0,1.0,0.0645706430077552,0.2541075348854065,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_00/seed_042
P25,,,1.0,1.0,1.0,1.0,0.0637379810214042,0.2524638175964355,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_00/seed_042
P2,,,1.0,1.0,1.0,1.0,0.0109347915276885,0.1045695543289184,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_02/seed_042
P6,,,1.0,1.0,1.0,1.0,0.0384037718176841,0.1959688067436218,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_02/seed_042
P24,,,1.0,1.0,1.0,1.0,0.0116413086652755,0.1078948974609375,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/eamist/fold_02/seed_042
P4,,,1.0,1.0,1.0,1.0,0.0,0.0,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/lesion_set_transformer/fold_01/seed_042
P11,,,0.0,0.0,0.0,0.0,1.0,1.0,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/lesion_set_transformer/fold_01/seed_042
P22,,,1.0,1.0,1.0,1.0,0.0,0.0,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/lesion_set_transformer/fold_01/seed_042
P1,,,1.0,1.0,1.0,1.0,0.0652561411261558,0.255452811717987,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/lesion_set_transformer/fold_00/seed_042
P9,,,1.0,1.0,1.0,1.0,0.0652528777718544,0.2554464340209961,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AAH_AIS/lesion_set_transformer/fold_00/seed_042
